"","FIPS","num_acute_beds"
"1009",26065,263
"1010",26067,18
"1011",26069,0
"1012",26071,8
"1013",26073,54
"1014",26075,215
"1015",26077,549
"1016",26079,8
"1017",26081,937
"1018",26087,97
"1019",26091,69
"1020",26093,34
"1021",26095,15
"1022",26097,15
"1023",26099,792
"1024",26101,31
"1025",26103,151
"1026",26105,15
"1027",26107,33
"1028",26111,181
"1029",26115,72
"1030",26117,64
"1031",26121,229
"1032",26123,9
"1033",26125,1866
"1034",26127,24
"1035",26129,78
"1036",26131,10
"1037",26133,25
"1038",26137,29
"1039",26139,92
"1040",26145,436
"1041",26147,189
"1042",26149,75
"1043",26151,15
"1044",26153,10
"1045",26155,54
"1046",26157,49
"1047",26159,66
"1048",26161,542
"1049",26163,2654
"1050",26165,30
"1051",27001,0
"1052",27003,233
"1053",27005,16
"1054",27007,40
"1055",27011,15
"1056",27013,105
"1057",27015,20
"1058",27017,37
"1059",27019,51
"1060",27021,0
"1061",27023,0
"1062",27025,22
"1063",27029,8
"1064",27031,15
"1065",27033,19
"1066",27035,96
"1067",27037,109
"1068",27041,77
"1069",27043,18
"1070",27047,40
"1071",27049,30
"1072",27051,9
"1073",27053,1460
"1074",27057,17
"1075",27059,31
"1076",27061,71
"1077",27063,16
"1078",27065,15
"1079",27067,32
"1080",27069,0
"1081",27071,0
"1082",27073,20
"1083",27075,0
"1084",27077,0
"1085",27079,9
"1086",27081,17
"1087",27083,32
"1088",27085,18
"1089",27087,0
"1090",27089,0
"1091",27091,11
"1092",27093,0
"1093",27095,30
"1094",27097,0
"1095",27101,14
"1096",27103,17
"1097",27105,29
"1098",27107,0
"1099",27109,660
"1100",27111,19
"1101",27113,21
"1102",27115,7
"1103",27117,15
"1104",27119,20
"1105",27121,17
"1106",27123,707
"1107",27127,25
"1108",27129,10
"1109",27131,27
"1110",27133,21
"1111",27135,21
"1112",27137,468
"1113",27139,70
"1114",27143,6
"1115",27145,152
"1116",27147,21
"1117",27149,15
"1118",27151,8
"1119",27153,20
"1120",27155,15
"1121",27157,11
"1122",27159,15
"1123",27161,8
"1124",27163,83
"1125",27165,18
"1126",27167,21
"1127",27169,25
"1128",27171,28
"1129",27173,18
"1130",28001,88
"1131",28003,133
"1132",28007,25
"1133",28011,43
"1134",28013,25
"1135",28017,65
"1136",28019,15
"1137",28021,12
"1138",28023,25
"1139",28025,37
"1140",28027,140
"1141",28029,25
"1142",28031,25
"1143",28033,222
"1144",28035,323
"1145",28037,25
"1146",28039,39
"1147",28041,7
"1148",28043,30
"1149",28045,80
"1150",28047,452
"1151",28049,1077
"1152",28051,25
"1153",28055,57
"1154",28059,159
"1155",28061,16
"1156",28063,30
"1157",28065,35
"1158",28067,129
"1159",28069,25
"1160",28071,111
"1161",28073,134
"1162",28075,492
"1163",28077,25
"1164",28079,25
"1165",28081,403
"1166",28083,125
"1167",28085,50
"1168",28087,112
"1169",28089,25
"1170",28091,43
"1171",28093,20
"1172",28095,80
"1173",28097,25
"1174",28099,63
"1175",28103,25
"1176",28105,75
"1177",28107,71
"1178",28109,42
"1179",28111,22
"1180",28113,112
"1181",28115,25
"1182",28117,41
"1183",28121,261
"1184",28123,50
"1185",28125,19
"1186",28127,69
"1187",28129,10
"1188",28131,25
"1189",28133,55
"1190",28135,18
"1191",28137,0
"1192",28139,25
"1193",28141,40
"1194",28145,117
"1195",28147,25
"1196",28149,257
"1197",28151,39
"1198",28153,68
"1199",28155,17
"1200",28157,16
"1201",28159,14
"1202",28161,26
"1203",28163,25
"1204",29001,30
"1205",29005,15
"1206",29007,20
"1207",29009,36
"1208",29011,25
"1209",29013,39
"1210",29019,532
"1211",29021,251
"1212",29023,111
"1213",29027,12
"1214",29029,50
"1215",29031,258
"1216",29033,25
"1217",29037,64
"1218",29039,25
"1219",29047,300
"1220",29049,33
"1221",29051,105
"1222",29053,0
"1223",29065,0
"1224",29071,76
"1225",29073,24
"1226",29075,25
"1227",29077,885
"1228",29079,15
"1229",29081,19
"1230",29083,37
"1231",29091,73
"1232",29093,15
"1233",29095,859
"1234",29097,376
"1235",29099,117
"1236",29101,24
"1237",29105,44
"1238",29107,21
"1239",29109,21
"1240",29113,21
"1241",29115,25
"1242",29117,17
"1243",29121,25
"1244",29123,13
"1245",29127,70
"1246",29145,21
"1247",29147,26
"1248",29155,42
"1249",29157,18
"1250",29159,68
"1251",29161,84
"1252",29163,25
"1253",29165,31
"1254",29167,28
"1255",29169,0
"1256",29171,15
"1257",29175,70
"1258",29177,25
"1259",29183,518
"1260",29185,12
"1261",29186,21
"1262",29187,68
"1263",29189,2056
"1264",29195,31
"1265",29199,19
"1266",29201,53
"1267",29207,12
"1268",29211,25
"1269",29213,46
"1270",29215,37
"1271",29217,25
"1272",29221,25
"1273",29510,1020
"1274",30001,13
"1275",30003,23
"1276",30005,0
"1277",30007,0
"1278",30009,10
"1279",30011,0
"1280",30013,127
"1281",30015,33
"1282",30017,25
"1283",30019,5
"1284",30021,35
"1285",30023,19
"1286",30025,25
"1287",30027,22
"1288",30029,110
"1289",30031,61
"1290",30033,0
"1291",30035,18
"1292",30039,3
"1293",30041,12
"1294",30047,40
"1295",30049,71
"1296",30051,25
"1297",30053,19
"1298",30055,30
"1299",30057,10
"1300",30059,25
"1301",30061,0
"1302",30063,166
"1303",30065,6
"1304",30067,20
"1305",30071,8
"1306",30073,0
"1307",30077,16
"1308",30079,22
"1309",30081,18
"1310",30083,14
"1311",30085,40
"1312",30087,0
"1313",30089,10
"1314",30091,0
"1315",30093,50
"1316",30095,10
"1317",30097,2
"1318",30099,3
"1319",30101,15
"1320",30105,25
"1321",30107,0
"1322",30111,242
"1323",31001,0
"1324",31003,15
"1325",31011,0
"1326",31013,25
"1327",31015,0
"1328",31017,0
"1329",31019,107
"1330",31021,0
"1331",31023,0
"1332",31029,18
"1333",31031,0
"1334",31033,19
"1335",31037,0
"1336",31039,23
"1337",31041,0
"1338",31045,23
"1339",31047,16
"1340",31053,39
"1341",31055,618
"1342",31057,14
"1343",31059,18
"1344",31061,0
"1345",31065,0
"1346",31067,19
"1347",31069,0
"1348",31079,93
"1349",31081,14
"1350",31083,19
"1351",31089,0
"1352",31093,0
"1353",31095,17
"1354",31097,0
"1355",31099,5
"1356",31101,17
"1357",31105,0
"1358",31107,23
"1359",31109,390
"1360",31111,56
"1361",31119,75
"1362",31121,0
"1363",31123,8
"1364",31125,0
"1365",31127,11
"1366",31129,21
"1367",31131,26
"1368",31133,5
"1369",31135,0
"1370",31137,0
"1371",31139,20
"1372",31141,0
"1373",31143,0
"1374",31145,25
"1375",31147,22
"1376",31149,24
"1377",31151,41
"1378",31153,73
"1379",31155,0
"1380",31157,56
"1381",31159,0
"1382",31161,0
"1383",31169,0
"1384",31173,0
"1385",31175,1
"1386",31177,0
"1387",31179,10
