"","FIPS","num_icu_beds"
"1550",29151,0
"1551",29153,0
"1552",29155,7
"1553",29157,0
"1554",29159,9
"1555",29161,18
"1556",29163,0
"1557",29165,0
"1558",29167,8
"1559",29169,0
"1560",29171,0
"1561",29173,0
"1562",29175,8
"1563",29177,0
"1564",29179,0
"1565",29181,0
"1566",29183,39
"1567",29185,0
"1568",29186,0
"1569",29187,10
"1570",29189,468
"1571",29195,7
"1572",29197,0
"1573",29199,0
"1574",29201,12
"1575",29203,0
"1576",29205,0
"1577",29207,4
"1578",29209,0
"1579",29211,0
"1580",29213,18
"1581",29215,4
"1582",29217,6
"1583",29219,0
"1584",29221,0
"1585",29223,0
"1586",29225,0
"1587",29227,0
"1588",29229,0
"1589",29510,207
"1590",30001,0
"1591",30003,0
"1592",30005,0
"1593",30007,0
"1594",30009,0
"1595",30011,0
"1596",30013,20
"1597",30015,0
"1598",30017,4
"1599",30019,0
"1600",30021,3
"1601",30023,0
"1602",30025,0
"1603",30027,0
"1604",30029,22
"1605",30031,8
"1606",30033,0
"1607",30035,0
"1608",30037,0
"1609",30039,0
"1610",30041,6
"1611",30043,0
"1612",30045,0
"1613",30047,0
"1614",30049,8
"1615",30051,0
"1616",30053,0
"1617",30055,0
"1618",30057,0
"1619",30059,0
"1620",30061,0
"1621",30063,32
"1622",30065,0
"1623",30067,4
"1624",30069,0
"1625",30071,0
"1626",30073,0
"1627",30075,0
"1628",30077,0
"1629",30079,0
"1630",30081,5
"1631",30083,0
"1632",30085,0
"1633",30087,1
"1634",30089,0
"1635",30091,0
"1636",30093,11
"1637",30095,0
"1638",30097,0
"1639",30099,0
"1640",30101,0
"1641",30103,0
"1642",30105,0
"1643",30107,0
"1644",30109,0
"1645",30111,41
"1646",31001,10
"1647",31003,0
"1648",31005,0
"1649",31007,0
"1650",31009,0
"1651",31011,0
"1652",31013,0
"1653",31015,0
"1654",31017,0
"1655",31019,34
"1656",31021,0
"1657",31023,0
