State,County,population,current_reported_cases,acute_beds,icu_beds,first_day_over_acute_capacity,first_day_over_icu_capacity,acute_bed_utilization_on_day_30,icu_bed_utilization_on_day_30
Oklahoma,Cleveland County,281669,22,139,36,47,46,0.0967178047264939,0.110273641021225
Colorado,Arapahoe County,651215,69,409,112,46,46,0.107090941641045,0.109976803331415
Colorado,Morgan County,28558,3,36,6,53,46,0.0535980665797236,0.109451087830233
Georgia,DeKalb County,756558,107,739,168,48,46,0.0900635800384812,0.108753222745938
Virginia,Loudoun County,406850,18,43,23,38,46,0.240785036815904,0.10861241159654
Mississippi,Hancock County,47334,5,80,12,54,46,0.0485328983464242,0.10819653474998
Michigan,Livingston County,191224,13,34,28,36,46,0.288028754648779,0.10734995246801
Wisconsin,Waukesha County,403072,31,300,74,49,46,0.0778025329492719,0.107023717366342
Louisiana,St. Tammany Parish,258111,52,412,109,48,46,0.0896989287659329,0.106842472637716
Florida,Santa Rosa County,179349,4,133,8,62,46,0.0211310079588925,0.10639847477089
Florida,Palm Beach County,1485941,101,1962,311,56,46,0.040444629508581,0.10638422126474
Kentucky,Montgomery County,28203,2,30,4,55,46,0.0456146887885569,0.105584720485163
Alabama,Baldwin County,218022,4,95,10,58,46,0.0322565528320879,0.105379207248159
California,Santa Barbara County,446527,24,171,48,48,46,0.0869836392251097,0.105372056826972
Georgia,Newton County,109541,6,71,10,53,46,0.0529038144847286,0.105344879506813
Ohio,Richland County,121099,4,115,10,61,46,0.02547608138154,0.10530316385793
Alabama,Walker County,63711,5,80,12,54,46,0.0464808205471645,0.105038908470966
Oregon,Deschutes County,191996,10,160,24,54,46,0.0476327448237838,0.104827109429381
California,Monterey County,435594,24,355,43,56,46,0.041101485109288,0.104615303604547
Georgia,Floyd County,97927,12,172,26,54,46,0.0472747124551206,0.103741005026905
South Carolina,Sumter County,106512,8,93,17,52,46,0.0573671237033588,0.10368585075917
Kentucky,Daviess County,101104,15,199,34,53,47,0.0518071711260666,0.102268743913981
Pennsylvania,Chester County,522046,40,566,88,54,47,0.0496817993702707,0.102217461959709
Texas,Lavaca County,20110,1,45,3,65,47,0.0169964289506256,0.102156968166259
Wisconsin,Ozaukee County,89147,16,148,42,49,47,0.0825634793350375,0.102053912060668
Mississippi,Bolivar County,31333,4,43,8,52,47,0.0607327416437872,0.101986846713183
Massachusetts,Suffolk County,807252,234,2337,389,52,47,0.0588002521085265,0.101724049003029
Louisiana,Terrebonne Parish,111021,14,178,27,53,47,0.0513789523429102,0.101651910422687
Georgia,Troup County,70034,6,77,12,54,47,0.0508818658859528,0.101491592441072
Wyoming,Teton County,23081,3,30,6,50,47,0.0705807254910683,0.101070143508984
Kansas,Douglas County,121436,6,58,10,52,47,0.0581643772674891,0.100118971873775
Maryland,Montgomery County,1052567,107,744,234,47,47,0.0980479371938464,0.0991548814602073
Wisconsin,Sauk County,64249,4,72,10,56,47,0.0405493364805287,0.0990193036154952
New Hampshire,Grafton County,89786,21,247,58,51,47,0.0656665313051035,0.098818740041259
Pennsylvania,Schuylkill County,142067,5,125,14,59,47,0.0309648242069945,0.0987056179712229
Washington,Thurston County,286419,14,194,32,54,47,0.0506056157924183,0.0980124867744319
Massachusetts,Worcester County,830839,73,854,163,52,47,0.0597389529972928,0.0979295253903702
Arkansas,Polk County,20049,2,25,6,51,47,0.0626542100197958,0.097485632611991
Maryland,Anne Arundel County,576031,24,458,50,57,47,0.0354097932575641,0.0969981421499901
Maryland,Carroll County,168429,5,87,12,56,47,0.0419984679562387,0.0968694933057939
Maryland,Baltimore County,828431,42,674,104,55,47,0.0436967156253365,0.0961690560781554
Ohio,Butler County,382378,18,243,38,54,47,0.0483132293578266,0.0956277197142735
Washington,Mason County,65507,2,13,6,44,47,0.125493416560499,0.0956138737215122
New York,Montgomery County,49455,3,70,8,59,47,0.0310037994971401,0.0953702991780538
Ohio,Trumbull County,198627,4,77,12,56,47,0.0405742446037256,0.0951875101258606
Alaska,Fairbanks North Star Borough,98971,9,57,13,48,47,0.0879452155081581,0.0951681708823904
North Carolina,Union County,235908,13,96,24,48,47,0.0862808267714708,0.0944564603288094
Tennessee,Cumberland County,59673,3,61,12,55,47,0.0449654911722261,0.0943539061876202
Iowa,Poweshiek County,18699,2,32,6,55,47,0.045300900890436,0.0940039804162883
California,San Diego County,3343364,242,2524,505,52,47,0.0610198409570852,0.0934032569981247
South Carolina,Orangeburg County,86934,8,139,22,55,47,0.0421898919222395,0.0931736197560178
California,Tulare County,465861,17,336,29,60,47,0.0277319112486812,0.093062963964819
Indiana,Tipton County,15128,2,19,6,49,47,0.0818666713035217,0.092899771820488
Wisconsin,Dane County,542364,72,578,144,49,48,0.0779911101139326,0.0927119064141171
Pennsylvania,Northampton County,304807,33,556,93,55,48,0.0437643299576854,0.0926423622199233
Alabama,Tallapoosa County,40497,2,25,6,51,48,0.0632881840989228,0.0925837932277591
Connecticut,Middlesex County,162682,8,157,24,56,48,0.0405111889847263,0.0923349517937693
South Carolina,Lancaster County,95380,7,98,20,53,48,0.0540618467042019,0.091915784832111
Arkansas,Hempstead County,21741,3,59,8,57,48,0.035640138831765,0.0916934028600319
Illinois,Christian County,32661,1,43,3,64,48,0.0175927266867223,0.091540003502887
New York,Livingston County,63227,3,30,8,50,48,0.0727508944100518,0.0914498618969128
Montana,Lewis and Clark County,68700,3,71,8,58,48,0.0314554624478666,0.0913068516935395
North Dakota,Ramsey County,11481,1,18,3,56,48,0.0405519978995982,0.0910363301427757
Illinois,McHenry County,308570,14,205,31,54,48,0.0474423731614632,0.0910063402893623
New York,Erie County,919719,107,1485,291,53,48,0.0519202944585832,0.0908397740124377
Illinois,DuPage County,928589,103,1293,245,53,48,0.0550121487565703,0.0900016982151801
Tennessee,Campbell County,39583,2,148,6,70,48,0.0104339998404662,0.0899878098927188
Washington,Lewis County,79604,2,73,6,63,48,0.021027423439418,0.0898289795004824
Hawaii,Maui County,167207,9,166,24,56,48,0.0398675228229767,0.0897661148315923
Ohio,Lorain County,309461,30,362,83,52,48,0.0604680408111745,0.0888688554332208
Oklahoma,Canadian County,144447,4,41,8,52,48,0.0604492490237936,0.0888147462462517
Maryland,Charles County,161503,5,81,10,56,48,0.0403925214469768,0.0886606277013028
Indiana,Hendricks County,167009,13,158,28,53,48,0.0534811259834835,0.0880541521642296
Iowa,Jasper County,37147,1,17,3,55,48,0.0429810554956737,0.0878185835618885
Kentucky,Warren County,131264,15,273,30,58,48,0.0324122699631528,0.0876217823005823
Tennessee,Greene County,69087,5,50,16,49,48,0.0793044479357961,0.0873047470981286
