FIPS,State,County,population,hospitalizations_per_case,severe_cases_rate,critical_case_rate,case_fatality_rate
19077,Iowa,Guthrie County,10674,0.0885765411279745,0.0579740560239835,0.030602485103991,0.0121318830803822
19079,Iowa,Hamilton County,15110,0.083684050297816,0.0548491915287889,0.0288348587690271,0.0114613606882859
19081,Iowa,Hancock County,10888,0.087563005143277,0.0571263515797208,0.0304366535635562,0.0120833449669361
19083,Iowa,Hardin County,17127,0.0878005488410113,0.0567016438956034,0.0310989049454078,0.0122662019034273
19085,Iowa,Harrison County,14143,0.0832805628225978,0.0560199121119989,0.0272606507105989,0.010466058120625
19087,Iowa,Henry County,19926,0.0771937669376694,0.0522906121650105,0.0249031547726588,0.00958659941784603
19089,Iowa,Howard County,9264,0.0839407383419689,0.0548837745034542,0.0290569638385147,0.0116399805699482
19091,Iowa,Humboldt County,9566,0.0855358561572235,0.0552859716704997,0.0302498844867238,0.0119825736985156
19093,Iowa,Ida County,6916,0.0882925101214575,0.0566375449681897,0.0316549651532678,0.0125293435511857
19095,Iowa,Iowa County,16207,0.0815645091627075,0.0545715202690196,0.0269929888936879,0.0105721429012155
19097,Iowa,Jackson County,19395,0.085789224026811,0.0563509986594483,0.0294382253673627,0.0117040206238721
19099,Iowa,Jasper County,36891,0.0810350220921092,0.0544714703044103,0.0265635517876989,0.0104944490526145
19101,Iowa,Jefferson County,18077,0.0833856834651768,0.0571479186258782,0.0262377648392986,0.00916464346960226
19103,Iowa,Johnson County,147001,0.0555383636846008,0.0399113616914171,0.0156270019931837,0.00580378895381664
19105,Iowa,Jones County,20568,0.0833228315830416,0.0551730290256709,0.0281498025573707,0.0110990266433294
19107,Iowa,Keokuk County,10200,0.0864693137254902,0.0566983231372549,0.0297709905882353,0.0115446823529412
19109,Iowa,Kossuth County,15075,0.090678407960199,0.0578100821890547,0.0328683257711443,0.0130004099502488
19111,Iowa,Lee County,34541,0.0828796792217944,0.056203090327437,0.0266765888943574,0.0101578663038129
19113,Iowa,Linn County,222121,0.0702522318916266,0.0485010056905921,0.0217512262010346,0.00841606682844035
19115,Iowa,Louisa County,11223,0.0777545219638243,0.0531235379132139,0.0246309840506104,0.00956863227301078
19117,Iowa,Lucas County,8597,0.0866950098871699,0.0569297014074677,0.0297653084797022,0.0116190322205421
19119,Iowa,Lyon County,11769,0.075087093210978,0.0494269050046733,0.0256601882063047,0.0101820919364432
19121,Iowa,Madison County,15890,0.0741726242920076,0.0511878034612964,0.0229848208307111,0.00875385022026432
19123,Iowa,Mahaska County,22208,0.0775072946685879,0.0515732087536023,0.0259340859149856,0.0100731051873199
19125,Iowa,Marion County,33207,0.0751758665341645,0.0508754821272623,0.0243003844069022,0.00927933387538772
19127,Iowa,Marshall County,40271,0.0757413275061459,0.051027109061111,0.0247142184450349,0.00962916043803233
19129,Iowa,Mills County,14957,0.0780024737581066,0.0538987942100689,0.0241036795480377,0.00887141539078692
19131,Iowa,Mitchell County,10631,0.0878546703038284,0.0557928281441069,0.0320618421597216,0.0131660107233562
19133,Iowa,Monona County,8796,0.094100045475216,0.0598589236016371,0.0342411218735789,0.01392741473397
19135,Iowa,Monroe County,7863,0.0803690703293908,0.053756719954216,0.0266123503751749,0.00997782017041841
19137,Iowa,Montgomery County,10155,0.085819596258001,0.0567187390448055,0.0291008572131955,0.0113641555883801
19139,Iowa,Muscatine County,42950,0.072647450523865,0.0497663172060536,0.0228811333178114,0.00870524097788126
19141,Iowa,O'Brien County,13911,0.0853808496872978,0.0540062101933722,0.0313746394939257,0.0126667414276472
19143,Iowa,Osceola County,6115,0.0857378577269011,0.0551783901880621,0.0305594675388389,0.0123142011447261
19145,Iowa,Page County,15363,0.087224305148734,0.0571059303521448,0.0301183747965892,0.0114127527175682
19147,Iowa,Palo Alto County,9055,0.0856974047487576,0.0545305574820541,0.0311668472667035,0.0126105334069575
19149,Iowa,Plymouth County,25039,0.0775936738687647,0.051929746116059,0.0256639277527058,0.00992758816246655
19151,Iowa,Pocahontas County,6898,0.0927393447376051,0.0605959910118875,0.0321433537257176,0.0124630472600754
19153,Iowa,Polk County,474274,0.0629144228863484,0.0451109487363845,0.0178034741499639,0.0066737817801524
19155,Iowa,Pottawattamie County,93503,0.0747242013625231,0.0511639767173246,0.0235602246451986,0.00892268034180722
19157,Iowa,Poweshiek County,18605,0.0800201558720774,0.0526868532115023,0.0273333026605751,0.0108627648481591
19159,Iowa,Ringgold County,4984,0.0920435393258427,0.0571435989165329,0.0348999404093098,0.0143663964686998
19161,Iowa,Sac County,9868,0.0919527766518038,0.0582027928658289,0.0337499837859749,0.0135058107012566
19163,Iowa,Scott County,172288,0.0712604882522288,0.049457460072669,0.0218030281795598,0.00819724960531204
19165,Iowa,Shelby County,11694,0.0890890200102617,0.0570184126902685,0.0320706073199932,0.0129257174619463
19167,Iowa,Sioux County,34825,0.0665896913137114,0.0444273962096195,0.0221622951040919,0.00886384034458004
19169,Iowa,Story County,96922,0.0538752811539176,0.0377133272425249,0.0161619539113927,0.00617963372608902
19171,Iowa,Tama County,17136,0.0811239495798319,0.0539893230042017,0.0271346265756303,0.0105240721288515
19173,Iowa,Taylor County,6201,0.08643170456378,0.0560575802289953,0.0303741243347847,0.0118978809869376
19175,Iowa,Union County,12453,0.081103910704248,0.0533381789127118,0.0277657317915362,0.0109111057576488
19177,Iowa,Van Buren County,7223,0.0872172227606258,0.0570321420462412,0.0301850807143846,0.0120237020628548
19179,Iowa,Wapello County,35315,0.0762442021803766,0.0513452143281892,0.0248989878521875,0.00961305394308368
19181,Iowa,Warren County,49361,0.070507911103908,0.0488129921192845,0.0216949189846235,0.00831714227831689
19183,Iowa,Washington County,22143,0.0796927245630673,0.0528229796775505,0.0268697448855169,0.0107752481596893
19185,Iowa,Wayne County,6413,0.0869535318883518,0.0551083118665211,0.0318452200218307,0.0131950787462966
19187,Iowa,Webster County,36757,0.0764225589683598,0.0515339007263923,0.0248886582419675,0.00953464591778437
19189,Iowa,Winnebago County,10571,0.0854924794248415,0.0550758505344811,0.0304166288903604,0.0116868300066219
19191,Iowa,Winneshiek County,20401,0.0816770746532033,0.0540091352874859,0.0276679393657174,0.0108540963678251
19193,Iowa,Woodbury County,102398,0.0672256391726401,0.0466675023926249,0.0205581367800152,0.00776070899822262
19195,Iowa,Worth County,7489,0.0850850580851916,0.0563343607958339,0.0287506972893577,0.0114012925624249
19197,Iowa,Wright County,12804,0.0872036863480163,0.0555854712589816,0.0316182150890347,0.0125144079975008
20001,Kansas,Allen County,12630,0.0824543942992874,0.0544131730799683,0.0280412212193191,0.0109361488519398
20003,Kansas,Anderson County,7852,0.0815538716250637,0.0540311572847682,0.0275227143402955,0.0106815155374427
20005,Kansas,Atchison County,16363,0.0718738617612907,0.0477958430605635,0.0240780187007273,0.00962910957648353
20007,Kansas,Barber County,4733,0.0846342700190154,0.0561898153391084,0.028444454679907,0.0108851383900275
20009,Kansas,Barton County,26791,0.078220297861222,0.0528153202941286,0.0254049775670934,0.00980382815124482
20011,Kansas,Bourbon County,14702,0.0775219698000272,0.0509568783158754,0.0265650914841518,0.0103782614610257
20013,Kansas,Brown County,9664,0.0811645281456954,0.0540049159768212,0.0271596121688742,0.0104331022350993
20015,Kansas,Butler County,66468,0.069551423241259,0.0487065104260697,0.0208449128151893,0.00783389601011013
20017,Kansas,Chase County,2645,0.0885640831758034,0.0571515081285444,0.031412575047259,0.0123186313799622
20019,Kansas,Chautauqua County,3367,0.0967326997326997,0.0619933026433026,0.0347393970893971,0.0137590911790912
20021,Kansas,Cherokee County,20331,0.0796502877379371,0.0544667233289066,0.0251835644090306,0.0094855885101569
20023,Kansas,Cheyenne County,2677,0.0967213298468435,0.0594010545386627,0.0373202753081808,0.0148451624953306
20025,Kansas,Clark County,2053,0.0882898197759376,0.0568996151972723,0.0313902045786654,0.0125148075986361
20027,Kansas,Clay County,8142,0.0882145664455908,0.0562631245394252,0.0319514419061656,0.0125831024318349
20029,Kansas,Cloud County,9060,0.0818997792494481,0.0531485748344371,0.028751204415011,0.0112889713024283
20031,Kansas,Coffey County,8296,0.0849004339440694,0.056615587753134,0.0282848461909354,0.0110267912246866
20033,Kansas,Comanche County,1780,0.0987775280898876,0.0624545151685393,0.0363230129213483,0.0147263707865169
20035,Kansas,Cowley County,35591,0.0750170267764322,0.0505348459161024,0.0244821808603299,0.00958345536793009
20037,Kansas,Crawford County,39108,0.0667301319423136,0.045511770021479,0.0212183619208346,0.00828056049913061
20039,Kansas,Decatur County,2881,0.103427976397084,0.0629180357514752,0.0405099406456092,0.0163871641791045
20041,Kansas,Dickinson County,19004,0.0802733108819196,0.053452220269417,0.0268210906125026,0.0106328930751421
20043,Kansas,Doniphan County,7736,0.0802803774560496,0.0525862458634953,0.0276941315925543,0.0106042916235781
20045,Kansas,Douglas County,119319,0.0562808940738692,0.0401936754330827,0.0160872186407865,0.0060336794642932
20047,Kansas,Edwards County,2925,0.0862116239316239,0.0574877876923077,0.0287238362393162,0.0112405743589744
20049,Kansas,Elk County,2562,0.104535519125683,0.0665633477751757,0.0379721713505074,0.0151326697892272
20051,Kansas,Ellis County,28878,0.0663850682180206,0.045349843929635,0.0210352242883856,0.00787717570468869
20053,Kansas,Ellsworth County,6293,0.0866632766566026,0.0569859094231686,0.029677367233434,0.0116430796122676
20055,Kansas,Finney County,36957,0.0549541900045999,0.0398704992288335,0.0150836907757664,0.00546091511756907
20057,Kansas,Ford County,34484,0.0559034624753509,0.0401099068843522,0.0157935555909987,0.00604427038626609
20059,Kansas,Franklin County,25563,0.0727303133435043,0.0506219422602981,0.0221083710832062,0.00832802175018582
20061,Kansas,Geary County,34895,0.0420688350766585,0.0303749836652816,0.011693851411377,0.0043996927926637
20063,Kansas,Gove County,2619,0.0988056510118366,0.0611159255441008,0.0376897254677358,0.0154039709812906
20065,Kansas,Graham County,2545,0.101415717092338,0.0629418911591356,0.0384738259332024,0.0156521257367387
20067,Kansas,Grant County,7616,0.0602796743697479,0.0427144901523109,0.017565184217437,0.00624788865546219
20069,Kansas,Gray County,6037,0.0677063110816631,0.0463578048699685,0.0213485062116946,0.00808910385953288
20071,Kansas,Greeley County,1200,0.0838533333333333,0.0523850283333333,0.031468305,0.0126247666666667
20073,Kansas,Greenwood County,6156,0.0953255360623782,0.0612117985705003,0.0341137374918778,0.013579236517219
20075,Kansas,Hamilton County,2616,0.0600401376146789,0.0431297721712538,0.0169103654434251,0.00609785932721713
20077,Kansas,Harper County,5673,0.0874292261589988,0.0548969259650978,0.0325323001939009,0.0132334778776661
20079,Kansas,Harvey County,34555,0.0784057589350311,0.0507034092605991,0.0277023496744321,0.0111365782086529
20081,Kansas,Haskell County,4047,0.0655021003212256,0.0466935376822338,0.0188085626389919,0.00686
20083,Kansas,Hodgeman County,1842,0.093114549402823,0.0598864082519001,0.0332281411509229,0.0131632464712269
20085,Kansas,Jackson County,13318,0.0793185162937378,0.0543288766331281,0.0249896396606097,0.00915035140411473
20087,Kansas,Jefferson County,18888,0.0813404277848369,0.0559674095722152,0.0253730182126218,0.00956275836509953
20089,Kansas,Jewell County,2916,0.108475308641975,0.0663223453360768,0.0421529633058985,0.017427366255144
20091,Kansas,Johnson County,585502,0.0669831802453279,0.0474613175343551,0.0195218627109728,0.00730527427745763
20093,Kansas,Kearny County,3932,0.0665119532044761,0.0461736103763988,0.0203383428280773,0.00798976093591048
20095,Kansas,Kingman County,7470,0.0889524765729585,0.0579210500669344,0.0310314265060241,0.0126219464524766
20097,Kansas,Kiowa County,2526,0.082812351543943,0.0535460059382423,0.0292663456057007,0.011154386381631
20099,Kansas,Labette County,20367,0.0785539843865076,0.053297959444199,0.0252560249423086,0.00958921196052438
20101,Kansas,Lane County,1642,0.078836784409257,0.0517268172959805,0.0271099671132765,0.0106738489646772
20103,Kansas,Leavenworth County,80042,0.0669518877589266,0.0479465995852178,0.0190052881737088,0.00707814097598761
20105,Kansas,Lincoln County,3097,0.0911659670649015,0.057357266386826,0.0338087006780756,0.0135650758798838
20107,Kansas,Linn County,9635,0.0863804878048781,0.0576650968344577,0.0287153909704203,0.0111954125583809
20109,Kansas,Logan County,2810,0.0860768683274021,0.0536758932384342,0.032400975088968,0.0129785338078292
20111,Kansas,Lyon County,33299,0.0663898615574041,0.045616934352383,0.0207729272050212,0.00802069972071233
20113,Kansas,McPherson County,28630,0.0811735941320293,0.0528343123646525,0.0283392817673769,0.0112228969612295
20115,Kansas,Marion County,12032,0.0884126496010638,0.0567698713430851,0.0316427782579787,0.0127698952792553
20117,Kansas,Marshall County,9798,0.0881631965707287,0.0565242882220861,0.0316389083486426,0.012553533374158
20119,Kansas,Meade County,4261,0.0753804271297817,0.0484259699601033,0.0269544571696785,0.0108471861065478
20121,Kansas,Miami County,33127,0.0762166510701241,0.0529351455308359,0.0232815055392882,0.00891390527364386
20123,Kansas,Mitchell County,6222,0.087230793956927,0.0548158158148505,0.0324149781420765,0.0127255769848923
20125,Kansas,Montgomery County,32970,0.0799124052168638,0.0529601485592963,0.0269522566575675,0.0104512229299363
20127,Kansas,Morris County,5566,0.0940213798059648,0.0601136927775782,0.0339076870283866,0.0131633560905498
