Year,GEO,Age group,VALUE
2019,New Brunswick,4 years,7205
2019,New Brunswick,5 to 9 years,38251
2019,New Brunswick,5 years,7333
2019,New Brunswick,6 years,7439
2019,New Brunswick,7 years,7680
2019,New Brunswick,8 years,7798
2019,New Brunswick,9 years,8001
2019,New Brunswick,10 to 14 years,39479
2019,New Brunswick,10 years,8074
2019,New Brunswick,11 years,8125
2019,New Brunswick,12 years,7890
2019,New Brunswick,13 years,7725
2019,New Brunswick,14 years,7665
2019,New Brunswick,15 to 19 years,41021
2019,New Brunswick,15 years,7913
2019,New Brunswick,16 years,8067
2019,New Brunswick,17 years,8073
2019,New Brunswick,18 years,8205
2019,New Brunswick,19 years,8763
2019,New Brunswick,20 to 24 years,42993
2019,New Brunswick,20 years,8606
2019,New Brunswick,21 years,8770
2019,New Brunswick,22 years,8480
2019,New Brunswick,23 years,8564
2019,New Brunswick,24 years,8573
2019,New Brunswick,25 to 29 years,43915
2019,New Brunswick,25 years,8621
2019,New Brunswick,26 years,8762
2019,New Brunswick,27 years,8774
2019,New Brunswick,28 years,8793
2019,New Brunswick,29 years,8965
2019,New Brunswick,30 to 34 years,44022
2019,New Brunswick,30 years,8749
2019,New Brunswick,31 years,8615
2019,New Brunswick,32 years,8720
2019,New Brunswick,33 years,8966
2019,New Brunswick,34 years,8972
2019,New Brunswick,35 to 39 years,46515
2019,New Brunswick,35 years,9206
2019,New Brunswick,36 years,9353
2019,New Brunswick,37 years,9213
2019,New Brunswick,38 years,9309
2019,New Brunswick,39 years,9434
2019,New Brunswick,40 to 44 years,48201
2019,New Brunswick,40 years,9222
2019,New Brunswick,41 years,9432
2019,New Brunswick,42 years,9863
2019,New Brunswick,43 years,9832
2019,New Brunswick,44 years,9852
2019,New Brunswick,45 to 49 years,52087
2019,New Brunswick,45 years,9984
2019,New Brunswick,46 years,10276
2019,New Brunswick,47 years,10525
2019,New Brunswick,48 years,10717
2019,New Brunswick,49 years,10585
2019,New Brunswick,50 to 54 years,55922
2019,New Brunswick,50 years,10413
2019,New Brunswick,51 years,10583
2019,New Brunswick,52 years,10833
2019,New Brunswick,53 years,11588
2019,New Brunswick,54 years,12505
2019,New Brunswick,55 to 59 years,63374
2019,New Brunswick,55 years,12736
2019,New Brunswick,56 years,12807
2019,New Brunswick,57 years,12658
2019,New Brunswick,58 years,12642
2019,New Brunswick,59 years,12531
2019,New Brunswick,60 to 64 years,61310
2019,New Brunswick,60 years,12239
2019,New Brunswick,61 years,12560
2019,New Brunswick,62 years,12449
2019,New Brunswick,63 years,11985
2019,New Brunswick,64 years,12077
2019,New Brunswick,65 to 69 years,53983
2019,New Brunswick,65 years,11606
2019,New Brunswick,66 years,11156
2019,New Brunswick,67 years,10731
2019,New Brunswick,68 years,10235
2019,New Brunswick,69 years,10255
2019,New Brunswick,70 to 74 years,44758
2019,New Brunswick,70 years,10140
2019,New Brunswick,71 years,9881
2019,New Brunswick,72 years,9666
2019,New Brunswick,73 years,7954
2019,New Brunswick,74 years,7117
2019,New Brunswick,75 to 79 years,29097
2019,New Brunswick,75 years,6807
2019,New Brunswick,76 years,6296
2019,New Brunswick,77 years,5776
2019,New Brunswick,78 years,5397
2019,New Brunswick,79 years,4821
2019,New Brunswick,80 to 84 years,18731
2019,New Brunswick,80 years,4466
2019,New Brunswick,81 years,4088
2019,New Brunswick,82 years,3659
2019,New Brunswick,83 years,3449
2019,New Brunswick,84 years,3069
2019,New Brunswick,85 to 89 years,11512
2019,New Brunswick,85 years,2730
2019,New Brunswick,86 years,2632
2019,New Brunswick,87 years,2432
2019,New Brunswick,88 years,2000
2019,New Brunswick,89 years,1718
2019,New Brunswick,90 to 94 years,5291
2019,New Brunswick,90 years,1440
2019,New Brunswick,91 years,1262
2019,New Brunswick,92 years,1022
2019,New Brunswick,93 years,841
2019,New Brunswick,94 years,726
2019,New Brunswick,95 to 99 years,1767
2019,New Brunswick,95 years,546
2019,New Brunswick,96 years,445
2019,New Brunswick,97 years,357
2019,New Brunswick,98 years,253
2019,New Brunswick,99 years,166
2019,New Brunswick,100 years and over,285
2019,New Brunswick,0 to 14 years,112043
2019,New Brunswick,0 to 15 years,119956
2019,New Brunswick,0 to 16 years,128023
2019,New Brunswick,0 to 17 years,136096
2019,New Brunswick,15 to 49 years,318754
2019,New Brunswick,15 to 64 years,499360
2019,New Brunswick,16 to 64 years,491447
2019,New Brunswick,17 to 64 years,483380
2019,New Brunswick,18 years and over,640731
2019,New Brunswick,18 to 64 years,475307
2019,New Brunswick,18 to 24 years,59961
2019,New Brunswick,25 to 44 years,182653
2019,New Brunswick,45 to 64 years,232693
2019,New Brunswick,65 years and over,165424
2019,New Brunswick,90 years and over,7343
2019,Quebec,All ages,8484965
2019,Quebec,0 to 4 years,433857
2019,Quebec,0 years,83671
2019,Quebec,1 year,84280
2019,Quebec,2 years,86005
2019,Quebec,3 years,89198
2019,Quebec,4 years,90703
2019,Quebec,5 to 9 years,463229
2019,Quebec,5 years,91893
2019,Quebec,6 years,92787
2019,Quebec,7 years,92583
2019,Quebec,8 years,92541
2019,Quebec,9 years,93425
2019,Quebec,10 to 14 years,441575
2019,Quebec,10 years,93730
2019,Quebec,11 years,91724
2019,Quebec,12 years,88674
2019,Quebec,13 years,85391
2019,Quebec,14 years,82056
2019,Quebec,15 to 19 years,424486
2019,Quebec,15 years,81901
2019,Quebec,16 years,81454
2019,Quebec,17 years,82840
2019,Quebec,18 years,86128
2019,Quebec,19 years,92163
2019,Quebec,20 to 24 years,503015
2019,Quebec,20 years,93528
2019,Quebec,21 years,96847
2019,Quebec,22 years,100814
2019,Quebec,23 years,104637
2019,Quebec,24 years,107189
2019,Quebec,25 to 29 years,563583
2019,Quebec,25 years,108616
2019,Quebec,26 years,111560
2019,Quebec,27 years,114393
2019,Quebec,28 years,115477
2019,Quebec,29 years,113537
2019,Quebec,30 to 34 years,536815
2019,Quebec,30 years,108151
2019,Quebec,31 years,104873
2019,Quebec,32 years,105137
2019,Quebec,33 years,108370
2019,Quebec,34 years,110284
2019,Quebec,35 to 39 years,578990
2019,Quebec,35 years,111733
2019,Quebec,36 years,112406
2019,Quebec,37 years,116018
2019,Quebec,38 years,119077
2019,Quebec,39 years,119756
2019,Quebec,40 to 44 years,565658
2019,Quebec,40 years,116626
2019,Quebec,41 years,114671
2019,Quebec,42 years,113625
2019,Quebec,43 years,110988
2019,Quebec,44 years,109748
2019,Quebec,45 to 49 years,521415
2019,Quebec,45 years,104543
2019,Quebec,46 years,101945
2019,Quebec,47 years,102218
2019,Quebec,48 years,105810
2019,Quebec,49 years,106899
2019,Quebec,50 to 54 years,564948
2019,Quebec,50 years,105655
2019,Quebec,51 years,106502
2019,Quebec,52 years,110311
2019,Quebec,53 years,116886
2019,Quebec,54 years,125594
2019,Quebec,55 to 59 years,642265
2019,Quebec,55 years,127838
2019,Quebec,56 years,129096
2019,Quebec,57 years,127350
2019,Quebec,58 years,129622
2019,Quebec,59 years,128359
2019,Quebec,60 to 64 years,610417
2019,Quebec,60 years,127430
2019,Quebec,61 years,126230
2019,Quebec,62 years,123052
2019,Quebec,63 years,117583
2019,Quebec,64 years,116122
2019,Quebec,65 to 69 years,513602
2019,Quebec,65 years,111381
2019,Quebec,66 years,105414
2019,Quebec,67 years,101795
2019,Quebec,68 years,99589
2019,Quebec,69 years,95423
2019,Quebec,70 to 74 years,426341
2019,Quebec,70 years,93474
2019,Quebec,71 years,90220
2019,Quebec,72 years,87922
2019,Quebec,73 years,80103
2019,Quebec,74 years,74622
2019,Quebec,75 to 79 years,296603
2019,Quebec,75 years,69393
2019,Quebec,76 years,64509
2019,Quebec,77 years,59179
2019,Quebec,78 years,54615
2019,Quebec,79 years,48907
2019,Quebec,80 to 84 years,192230
2019,Quebec,80 years,45217
2019,Quebec,81 years,41418
2019,Quebec,82 years,37347
2019,Quebec,83 years,35556
2019,Quebec,84 years,32692
2019,Quebec,85 to 89 years,127255
2019,Quebec,85 years,30013
2019,Quebec,86 years,28246
2019,Quebec,87 years,25986
2019,Quebec,88 years,23231
2019,Quebec,89 years,19779
2019,Quebec,90 to 94 years,59247
2019,Quebec,90 years,16565
2019,Quebec,91 years,14133
2019,Quebec,92 years,11361
2019,Quebec,93 years,9528
2019,Quebec,94 years,7660
2019,Quebec,95 to 99 years,16875
2019,Quebec,95 years,6056
2019,Quebec,96 years,4295
2019,Quebec,97 years,2956
2019,Quebec,98 years,2110
2019,Quebec,99 years,1458
2019,Quebec,100 years and over,2559
2019,Quebec,0 to 14 years,1338661
2019,Quebec,0 to 15 years,1420562
2019,Quebec,0 to 16 years,1502016
2019,Quebec,0 to 17 years,1584856
2019,Quebec,15 to 49 years,3693962
2019,Quebec,15 to 64 years,5511592
2019,Quebec,16 to 64 years,5429691
2019,Quebec,17 to 64 years,5348237
2019,Quebec,18 years and over,6900109
2019,Quebec,18 to 64 years,5265397
2019,Quebec,18 to 24 years,681306
2019,Quebec,25 to 44 years,2245046
2019,Quebec,45 to 64 years,2339045
2019,Quebec,65 years and over,1634712
2019,Quebec,90 years and over,78681
2019,Ontario,All ages,14566547
2019,Ontario,0 to 4 years,728255
2019,Ontario,0 years,145779
2019,Ontario,1 year,144116
2019,Ontario,2 years,144399
2019,Ontario,3 years,146138
2019,Ontario,4 years,147823
2019,Ontario,5 to 9 years,764053
2019,Ontario,5 years,149359
2019,Ontario,6 years,151560
2019,Ontario,7 years,153693
2019,Ontario,8 years,153314
2019,Ontario,9 years,156127
2019,Ontario,10 to 14 years,787869
2019,Ontario,10 years,157646
2019,Ontario,11 years,160034
2019,Ontario,12 years,157935
2019,Ontario,13 years,155669
2019,Ontario,14 years,156585
2019,Ontario,15 to 19 years,861516
2019,Ontario,15 years,159374
2019,Ontario,16 years,160277
2019,Ontario,17 years,165548
2019,Ontario,18 years,178394
2019,Ontario,19 years,197923
2019,Ontario,20 to 24 years,1035287
2019,Ontario,20 years,202641
2019,Ontario,21 years,202885
2019,Ontario,22 years,202730
2019,Ontario,23 years,211386
2019,Ontario,24 years,215645
2019,Ontario,25 to 29 years,1050412
2019,Ontario,25 years,211080
2019,Ontario,26 years,209661
2019,Ontario,27 years,208751
2019,Ontario,28 years,210347
2019,Ontario,29 years,210573
2019,Ontario,30 to 34 years,1009817
2019,Ontario,30 years,204642
2019,Ontario,31 years,200301
2019,Ontario,32 years,200435
2019,Ontario,33 years,202520
2019,Ontario,34 years,201919
2019,Ontario,35 to 39 years,965953
2019,Ontario,35 years,198749
2019,Ontario,36 years,196900
2019,Ontario,37 years,192178
2019,Ontario,38 years,191015
2019,Ontario,39 years,187111
2019,Ontario,40 to 44 years,915068
